22/01/2014 22/01/2014, Iniciando monitor de actividad...
8/24/2014 7:35 PM, Error al generar ticket de entrada
8/24/2014 7:38 PM, Iniciando interfase de entrada - UI...
8/24/2014 7:38 PM, Error al generar ticket de entrada
8/24/2014 7:38 PM, Error al generar ticket de entrada
8/24/2014 8:05 PM, Iniciando interfase de entrada - UI...
8/24/2014 8:06 PM, Iniciando interfase de entrada - UI...
8/24/2014 8:23 PM, Iniciando interfase de entrada - UI...
8/24/2014 9:35 PM, Iniciando interfase de entrada - UI...
8/24/2014 9:49 PM, Iniciando interfase de entrada - UI...
8/24/2014 10:03 PM, Iniciando interfase de entrada - UI...
8/24/2014 10:03 PM, Iniciando interfase de entrada - UI...
8/24/2014 10:17 PM, Iniciando interfase de entrada - UI...
8/24/2014 10:32 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:30 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:30 PM, Error al generar ticket de entrada
8/26/2014 6:31 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:31 PM, Error al generar ticket de entrada
8/26/2014 6:34 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:35 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:37 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:39 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:45 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:45 PM, Error al generar ticket de entrada
8/26/2014 6:45 PM, Iniciando interfase de entrada - UI...
8/26/2014 6:46 PM, Error al generar ticket de entrada
8/26/2014 7:15 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:15 PM, Error al generar ticket de entrada
8/26/2014 7:16 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:18 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:19 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:20 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:25 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:28 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:28 PM, Iniciando interfase de entrada - UI...
8/26/2014 7:30 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:02 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:05 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:09 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:17 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:18 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:18 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:19 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:19 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:20 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:20 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:21 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:21 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:21 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:22 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:23 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:23 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:24 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:24 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:25 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:26 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:26 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:27 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:28 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:29 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:53 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:54 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:54 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:55 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:58 PM, Iniciando interfase de entrada - UI...
8/28/2014 9:59 PM, Iniciando interfase de entrada - UI...
8/28/2014 10:00 PM, Iniciando interfase de entrada - UI...
9/1/2014 11:35 PM, Iniciando interfase de entrada - UI...
9/1/2014 11:36 PM, Error al generar ticket de entrada
9/1/2014 11:36 PM, Error al generar ticket de entrada
9/1/2014 11:36 PM, Error al generar ticket de entrada
9/1/2014 11:37 PM, Iniciando interfase de entrada - UI...
9/1/2014 11:39 PM, Iniciando interfase de entrada - UI...
9/2/2014 7:53 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:09 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:10 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:10 PM, Error al generar ticket de entrada
9/2/2014 8:12 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:13 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:14 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:16 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:17 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:18 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:32 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:33 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:34 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:34 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:35 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:36 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:37 PM, Iniciando interfase de entrada - UI...
9/2/2014 8:37 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:00 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:00 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:01 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:06 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:20 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:27 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:28 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:29 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:36 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:50 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:52 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:53 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:55 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:56 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:56 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:57 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:57 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:57 PM, Iniciando interfase de entrada - UI...
9/2/2014 9:59 PM, Iniciando interfase de entrada - UI...
9/2/2014 10:01 PM, Iniciando interfase de entrada - UI...
9/2/2014 10:02 PM, Iniciando interfase de entrada - UI...
9/3/2014 8:40 PM, Iniciando interfase de entrada - UI...
9/3/2014 8:41 PM, Iniciando interfase de entrada - UI...
9/3/2014 8:45 PM, Iniciando interfase de entrada - UI...
9/3/2014 8:45 PM, Iniciando interfase de entrada - UI...
9/3/2014 8:45 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:28 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:30 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:32 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:41 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:41 PM, Error al generar ticket de entrada
9/4/2014 8:41 PM, Error al generar ticket de entrada
9/4/2014 8:42 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:43 PM, Error al generar ticket de entrada
9/4/2014 8:44 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:46 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:48 PM, Error al generar ticket de entrada
9/4/2014 8:48 PM, Error al generar ticket de entrada
9/4/2014 8:48 PM, Error al generar ticket de entrada
