22/01/2014 22/01/2014, Iniciando monitor de actividad...
9/10/2015 10:03 PM, Iniciando interfase de entrada - UI...
9/10/2015 10:06 PM, Iniciando interfase de entrada - UI...
9/10/2015 10:12 PM, Iniciando interfase de entrada - UI...
9/10/2015 10:17 PM, Iniciando interfase de entrada - UI...
9/10/2015 10:27 PM, Iniciando interfase de entrada - UI...
9/10/2015 10:28 PM, Iniciando interfase de entrada - UI...
9/25/2015 7:53 PM, Iniciando interfase de entrada - UI...
9/25/2015 7:54 PM, Iniciando interfase de entrada - UI...
9/25/2015 7:55 PM, Iniciando interfase de entrada - UI...
9/25/2015 7:56 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:08 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:11 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:11 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:12 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:13 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:17 PM, Iniciando interfase de entrada - UI...
9/25/2015 11:26 PM, Iniciando interfase de entrada - UI...
11/30/2015 2:06 PM, Iniciando interfase de entrada - UI...
11/30/2015 2:18 PM, Iniciando interfase de entrada - UI...
11/30/2015 2:20 PM, Iniciando interfase de entrada - UI...
11/30/2015 3:16 PM, Iniciando interfase de entrada - UI...
11/30/2015 3:18 PM, Iniciando interfase de entrada - UI...
11/30/2015 5:05 PM, Iniciando interfase de entrada - UI...
11/30/2015 5:24 PM, Iniciando interfase de entrada - UI...
12/2/2015 10:49 AM, Iniciando interfase de entrada - UI...
12/2/2015 10:52 AM, Iniciando interfase de entrada - UI...
12/2/2015 10:53 AM, Iniciando interfase de entrada - UI...
12/2/2015 11:10 AM, Iniciando interfase de entrada - UI...
12/2/2015 4:43 PM, Iniciando interfase de entrada - UI...
12/2/2015 7:20 PM, Iniciando interfase de entrada - UI...
12/3/2015 6:34 PM, Iniciando interfase de entrada - UI...
12/3/2015 6:35 PM, Iniciando interfase de entrada - UI...
12/3/2015 6:45 PM, Iniciando interfase de entrada - UI...
12/3/2015 7:53 PM, Iniciando interfase de entrada - UI...
12/3/2015 8:06 PM, Iniciando interfase de entrada - UI...
12/3/2015 9:04 PM, Iniciando interfase de entrada - UI...
12/3/2015 9:10 PM, Iniciando interfase de entrada - UI...
12/3/2015 9:45 PM, Iniciando interfase de entrada - UI...
12/3/2015 9:48 PM, Iniciando interfase de entrada - UI...
12/3/2015 10:05 PM, Iniciando interfase de entrada - UI...
12/3/2015 10:26 PM, Iniciando interfase de entrada - UI...
12/3/2015 11:09 PM, Iniciando interfase de entrada - UI...
12/3/2015 11:21 PM, Iniciando interfase de entrada - UI...
12/3/2015 11:25 PM, Iniciando interfase de entrada - UI...
12/4/2015 9:38 AM, Iniciando interfase de entrada - UI...
12/4/2015 10:15 AM, Iniciando interfase de entrada - UI...
12/4/2015 10:29 AM, Iniciando interfase de entrada - UI...
12/4/2015 10:56 AM, Iniciando interfase de entrada - UI...
12/4/2015 11:11 AM, Iniciando interfase de entrada - UI...
12/4/2015 11:13 AM, Iniciando interfase de entrada - UI...
12/4/2015 11:16 AM, Iniciando interfase de entrada - UI...
12/4/2015 8:35 PM, Iniciando interfase de entrada - UI...
12/4/2015 8:56 PM, Iniciando interfase de entrada - UI...
12/4/2015 9:09 PM, Iniciando interfase de entrada - UI...
12/4/2015 9:32 PM, Iniciando interfase de entrada - UI...
12/5/2015 7:50 PM, Iniciando interfase de entrada - UI...
12/6/2015 10:40 AM, Iniciando interfase de entrada - UI...
12/6/2015 12:44 PM, Iniciando interfase de entrada - UI...
12/7/2015 11:00 AM, Iniciando interfase de entrada - UI...
12/7/2015 12:10 PM, Iniciando interfase de entrada - UI...
12/7/2015 2:10 PM, Iniciando interfase de entrada - UI...
12/7/2015 2:38 PM, Iniciando interfase de entrada - UI...
12/7/2015 4:49 PM, Iniciando interfase de entrada - UI...
12/7/2015 5:07 PM, Iniciando interfase de entrada - UI...
